City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Broome,42.25,-75.83,30.0,73,90,16.11,US,1607285855
Atar,20.52,-13.05,66.51,36,63,11.32,MR,1607285761
Coruripe,-10.13,-36.18,79.66,69,1,13.87,BR,1607285856
Ahipara,-35.17,173.17,66.42,76,100,10.33,NZ,1607285856
Roebourne,-20.78,117.13,83.71,63,42,12.97,AU,1607285856
Bredasdorp,-34.53,20.04,64.4,88,100,17.22,ZA,1607285857
Cabo San Lucas,22.89,-109.91,80.01,53,5,12.75,MX,1607285857
Sal Rei,16.18,-22.92,75.2,64,75,14.99,CV,1607285857
Cherskiy,68.75,161.3,-9.31,88,68,4.18,RU,1607285857
Roald,62.58,6.13,39.2,93,75,5.82,NO,1607285798
Honningsvåg,70.98,25.97,32.0,83,20,10.29,NO,1607285858
Castro,-24.79,-50.01,59.38,97,100,6.44,BR,1607285822
Ormara,25.21,64.64,75.87,73,0,2.62,PK,1607285858
Nong’an,44.38,125.17,10.4,72,0,6.71,CN,1607285859
Thompson,55.74,-97.86,17.6,92,90,4.7,CA,1607285704
Hofn,64.25,-15.21,33.76,87,100,9.91,IS,1607285859
Río Gallegos,-51.62,-69.22,73.4,28,0,29.97,AR,1607285781
West Bay,19.37,-81.42,82.4,74,20,4.7,KY,1607285859
Jacareacanga,-6.22,-57.75,90.84,49,100,2.44,BR,1607285860
East London,-33.02,27.91,69.75,91,100,19.13,ZA,1607285860
Kasongo,-4.45,26.67,69.01,96,0,1.61,CD,1607285860
Mar del Plata,-38.0,-57.56,71.6,56,0,18.34,AR,1607285714
Eureka,40.8,-124.16,57.99,76,1,10.29,US,1607285831
Camaná,-16.62,-72.71,70.97,65,77,7.65,PE,1607285861
Bambous Virieux,-20.34,57.76,78.01,83,75,8.05,MU,1607285861
Esperance,-33.87,121.9,59.0,62,90,10.29,AU,1607285861
Khandyga,62.67,135.6,-16.76,87,100,4.18,RU,1607285862
Bull Savanna,17.89,-77.59,78.82,75,8,7.07,JM,1607285862
Abadan,38.05,58.21,37.4,51,90,4.7,TM,1607285862
Elbistan,38.21,37.2,36.7,76,0,0.87,TR,1607285862
Stephenville,32.22,-98.2,60.8,31,1,13.87,US,1607285863
Jining,35.41,116.58,39.74,71,100,5.66,CN,1607285863
Sitka,57.05,-135.33,46.4,75,90,20.8,US,1607285863
Vila,42.03,-8.16,46.0,95,100,7.0,PT,1607285863
Yangi Marg`ilon,40.43,71.72,35.6,59,20,4.7,UZ,1607285863
Bethel,41.37,-73.41,39.99,44,1,11.41,US,1607285864
Zeya,53.75,127.27,0.37,92,100,1.28,RU,1607285864
Utiel,39.57,-1.2,39.99,77,7,1.99,ES,1607285864
Adwa,14.16,38.9,61.72,79,1,4.41,ET,1607285864
Muros,42.78,-9.06,55.99,91,100,15.01,ES,1607285865
Nanortalik,60.14,-45.24,30.69,96,76,7.23,GL,1607285865
Henties Bay,-22.12,14.28,62.01,86,0,5.21,NA,1607285865
Kenai,60.55,-151.26,25.0,62,20,20.8,US,1607285813
Correntina,-13.34,-44.64,84.63,61,86,4.59,BR,1607285866
San Quintín,30.48,-115.95,69.58,25,50,10.31,MX,1607285866
Kavaratti,10.57,72.64,82.56,76,92,10.09,IN,1607285866
Christchurch,-43.53,172.63,73.4,49,97,6.93,NZ,1607285629
Brae,60.4,-1.35,44.6,93,40,10.29,GB,1607285673
Laas,46.62,10.7,34.0,68,90,2.24,IT,1607285867
Eyl,7.98,49.82,77.04,74,0,8.19,SO,1607285867
Nikolskoye,59.7,30.79,33.01,86,0,8.95,RU,1607285774
Whitecourt,54.15,-115.69,44.6,36,20,5.82,CA,1607285867
Labuhan,-6.88,112.21,79.47,85,95,10.85,ID,1607285868
Nago,26.59,127.98,71.6,88,75,4.7,JP,1607285868
Katsuura,35.13,140.3,46.4,81,20,6.93,JP,1607285693
Kumul,42.8,93.45,19.67,82,0,4.43,CN,1607285821
Upernavik,72.79,-56.15,22.17,97,100,5.41,GL,1607285868
Tolaga Bay,-38.37,178.3,68.83,37,100,5.95,NZ,1607285869
Asău,46.43,26.4,32.0,13,100,4.38,RO,1607285776
Hukuntsi,-24.0,21.75,81.37,30,0,11.48,BW,1607285869
Hammerfest,70.66,23.68,28.4,68,40,10.29,NO,1607285869
Saskylakh,71.92,114.08,-9.72,89,100,8.1,RU,1607285870
Bilma,18.69,12.92,71.47,22,97,2.28,NE,1607285814
Port Hardy,50.7,-127.42,50.0,76,90,16.11,CA,1607285770
Faanui,-16.48,-151.75,80.46,72,97,7.85,PF,1607285870
Mercedes,-34.65,-59.43,79.0,32,0,1.99,AR,1607285870
Mundo Nuevo (Ojo de Agua),18.7,-95.5,69.8,83,100,21.92,MX,1607285871
Mount Gambier,-37.83,140.77,48.2,87,75,10.29,AU,1607285779
Saint-Pierre,-21.34,55.48,77.0,73,0,3.36,RE,1607285872
Nome,64.5,-165.41,14.0,61,1,16.11,US,1607285621
Tuatapere,-46.13,167.68,64.99,71,1,4.0,NZ,1607285872
Airai,-8.93,125.41,62.28,100,100,0.76,TL,1607285873
Assiut,27.18,31.18,59.0,44,0,11.41,EG,1607285816
Scarborough,54.28,-0.4,35.01,94,57,3.36,GB,1607285873
Kamenka,51.32,42.77,14.29,93,0,8.37,RU,1607285874
Shenjiamen,29.96,122.3,57.31,75,95,11.92,CN,1607285874
Fort Nelson,58.81,-122.7,24.8,85,75,3.36,CA,1607285874
Souillac,-20.52,57.52,77.0,83,75,8.05,MU,1607285874
Buraidah,26.33,43.98,55.4,87,0,6.93,SA,1607285874
Kaniama,-7.57,24.18,66.06,96,14,2.48,CD,1607285875
Boueni,-12.9,45.08,80.6,78,20,3.36,YT,1607285875
Atambua,-9.11,124.89,74.68,86,100,2.37,ID,1607285875
Lamu,-2.27,40.9,82.4,78,20,8.05,KE,1607285875
Margate,51.38,1.39,44.01,72,37,8.25,GB,1607285876
Novyy Buyan,53.69,50.05,-2.2,77,3,4.47,RU,1607285876
São Desidério,-12.36,-44.97,86.59,46,70,5.12,BR,1607285876
Ugoofaaru,5.67,73.0,81.5,81,82,14.03,MV,1607285876
Carutapera,-1.2,-46.02,82.63,70,100,8.46,BR,1607285781
Lahad Datu,5.03,118.33,76.39,92,100,2.01,MY,1607285877
Ola,59.58,151.28,13.68,94,100,6.96,RU,1607285877
Torbay,47.67,-52.73,45.0,100,90,9.17,CA,1607285877
Khatanga,71.97,102.5,-4.81,91,100,7.54,RU,1607285772
Rome,43.21,-75.46,30.2,63,90,13.87,US,1607285618
Stornoway,58.21,-6.39,33.8,78,73,3.36,GB,1607285731
Portland,45.52,-122.68,46.99,95,77,0.89,US,1607285151
Panórama,40.59,23.03,57.0,76,20,9.17,GR,1607285878
Krasnyy Oktyabr',56.12,38.88,18.73,93,41,4.9,RU,1607285879
Merta,26.65,74.03,63.39,30,0,7.02,IN,1607285879
Port Hedland,-20.32,118.57,80.6,57,8,10.07,AU,1607285879
Pavelets,53.79,39.25,17.71,94,0,6.51,RU,1607285879
Alausí,-2.2,-78.83,53.17,82,100,0.18,EC,1607285879
Kuching,1.55,110.33,77.0,94,40,4.7,MY,1607285880
Deputatsky,69.3,139.9,-27.69,84,15,0.85,RU,1607285880
Aracruz,-19.82,-40.27,82.4,74,20,16.11,BR,1607285726
Gemeente Cuijk,51.72,5.87,39.0,100,90,4.7,NL,1607285880
Magadan,59.57,150.8,12.27,94,100,9.98,RU,1607285881
Alekseyevsk,57.84,108.35,10.2,93,100,13.67,RU,1607285881
Manbij,36.53,37.95,39.2,54,0,4.7,SY,1607285881
Rock Sound,24.9,-76.2,75.47,72,0,6.82,BS,1607285881
Khoy,38.55,44.95,32.85,94,100,4.23,IR,1607285882
Fukuechō,32.69,128.84,56.37,58,0,12.64,JP,1607285882
The Valley,18.22,-63.06,86.0,74,75,12.75,AI,1607285882
Esim,4.87,-2.24,79.59,81,0,8.08,GH,1607285810
Palmer,42.16,-72.33,35.6,51,20,18.34,US,1607285883
Zhigansk,66.77,123.37,-7.74,89,100,16.22,RU,1607285883
Jackson,42.42,-122.83,42.8,93,90,1.99,US,1607285884
Saint Paul Harbor,57.79,-152.41,37.4,86,90,5.82,US,1607285884
Oodweyne,9.41,45.06,73.35,36,0,10.07,SO,1607285884
Narsaq,60.92,-46.05,28.4,74,67,1.12,GL,1607285884
Tupik,54.43,119.93,-1.75,85,36,3.85,RU,1607285884
Smithers,54.78,-127.17,42.8,70,75,6.93,CA,1607285709
Pervomayskoye,43.92,46.71,38.12,74,69,16.31,RU,1607285885
Usinsk,65.99,57.53,31.77,98,100,19.55,RU,1607285885
Mikun',62.35,50.08,27.32,97,100,8.81,RU,1607285885
Sambava,-14.27,50.17,76.39,84,3,7.43,MG,1607285886
Iquique,-20.22,-70.14,69.8,60,0,14.99,CL,1607285811
Hong Kong,22.29,114.16,64.99,75,5,5.46,HK,1607285886
Imbituba,-28.24,-48.67,66.2,93,75,13.87,BR,1607285886
Mildura,-34.2,142.15,57.0,71,75,5.82,AU,1607285838
Bengkulu,-3.8,102.27,75.29,88,100,5.1,ID,1607285887
Gazli,40.13,63.45,20.61,80,91,12.95,UZ,1607285887
Tianpeng,30.99,103.94,48.99,93,40,1.43,CN,1607285887
Qurayyat,31.33,37.34,53.6,71,0,11.41,SA,1607285888
Padang,-0.95,100.35,77.74,76,98,4.25,ID,1607285694
Gemeente Wageningen,51.97,5.67,41.0,100,90,9.17,NL,1607285610
Suriāpet,17.15,79.62,68.47,77,59,2.75,IN,1607285888
Owatonna,44.08,-93.23,36.0,74,90,10.29,US,1607285736
Port Elizabeth,-33.92,25.57,68.0,88,100,18.34,ZA,1607285889
Sechura,-5.56,-80.82,78.78,57,49,14.63,PE,1607285889
Pran Buri,12.38,99.91,66.0,91,78,7.2,TH,1607285889
Yarovoy,52.93,78.58,-3.55,91,99,4.97,RU,1607285890
Ilulissat,69.22,-51.1,24.8,49,100,17.22,GL,1607285776
Borba,-4.39,-59.59,82.15,86,100,1.79,BR,1607285890
Merauke,-8.47,140.33,79.47,87,100,9.86,ID,1607285891
Moroni,-11.7,43.26,79.29,72,8,5.21,KM,1607285891
Boizenburg,53.38,10.72,41.0,95,90,5.03,DE,1607285891
Phonhong,18.5,102.42,61.41,87,73,1.86,LA,1607285891
Touros,-5.2,-35.46,82.4,69,40,14.99,BR,1607285891
Corinth,37.94,22.96,61.0,63,75,1.01,GR,1607285892
Klaksvík,62.23,-6.59,37.4,86,92,9.17,FO,1607285776
Port Lincoln,-34.73,135.87,57.54,67,73,19.46,AU,1607285892
Muroto-misakicho,33.28,134.15,58.55,78,41,9.46,JP,1607285892
Rāyagada,19.17,83.42,62.76,63,0,2.04,IN,1607285892
Villazón,-22.09,-65.59,63.03,39,11,19.71,BO,1607285893
Adrar,20.5,-10.07,62.89,37,100,9.24,MR,1607285893
Bago,17.34,96.48,75.2,94,15,3.36,MM,1607285893
Guerrero Negro,27.98,-114.06,75.45,18,28,5.3,MX,1607285893
New Norfolk,-42.78,147.06,50.0,81,94,1.01,AU,1607285894
Penzance,50.12,-5.54,41.0,93,10,5.82,GB,1607285894
Dakar,14.69,-17.44,77.0,69,0,13.87,SN,1607285666
Leh,34.17,77.58,17.13,81,95,0.56,IN,1607285894
Maridi,4.92,29.47,77.23,38,12,2.06,SS,1607285894
Buin,-33.73,-70.75,89.6,19,0,9.17,CL,1607285895
Oussouye,12.48,-16.55,78.8,83,0,2.24,SN,1607285895
Acapulco de Juárez,16.86,-99.89,87.8,62,5,7.81,MX,1607285895
Mount Isa,-20.73,139.5,82.4,24,40,8.05,AU,1607285895
Aksarka,66.56,67.8,24.67,95,65,18.43,RU,1607285896
Dolores,-36.31,-57.68,73.9,37,0,14.09,AR,1607285896
Oktyabr'skiy,54.48,53.47,9.99,85,0,3.8,RU,1607285896
Sorong,-0.88,131.25,81.79,76,100,5.99,ID,1607285896
Mārkāpur,15.73,79.28,68.92,85,41,5.37,IN,1607285897
San Cristobal,7.77,-72.22,87.8,58,40,10.29,VE,1607285897
Hlotse,-28.87,28.05,65.32,48,29,2.95,LS,1607285897
Sekoma,-24.4,23.88,78.08,46,35,10.67,BW,1607285897
Arlit,18.74,7.39,79.14,18,0,6.35,NE,1607285898
Mahébourg,-20.41,57.7,77.0,83,75,8.05,MU,1607285898
Manggar,-2.88,108.27,79.39,88,100,12.84,ID,1607285898
Carbonia,39.17,8.52,51.8,87,0,2.24,IT,1607285898
Sterling,39.01,-77.43,44.6,45,20,13.87,US,1607285898
São José da Coroa Grande,-8.9,-35.15,78.98,71,18,10.42,BR,1607285899
Half Moon Bay,37.46,-122.43,59.0,71,1,12.75,US,1607285899
Sur,22.57,59.53,75.74,66,0,12.88,OM,1607285786
Makakilo City,21.35,-158.09,78.8,65,1,3.49,US,1607285808
Kjøllefjord,70.95,27.35,32.0,90,75,13.87,NO,1607285900
Olafsvik,64.89,-23.71,33.3,85,100,10.11,IS,1607285900
Chui,-33.7,-53.46,65.97,57,18,10.2,UY,1607285899
Kutum,14.2,24.67,65.84,24,1,9.13,SD,1607285794
Karpogory,64.0,44.45,31.01,97,100,8.88,RU,1607285900
Zheshart,62.07,49.57,27.93,97,95,9.15,RU,1607285901
Biloela,-24.42,150.5,73.96,80,53,8.21,AU,1607285821
Kemin,42.78,75.69,23.52,81,0,3.62,KG,1607285901
Becerril,9.7,-73.28,87.1,64,100,2.84,CO,1607285901
Stryn,61.9,6.72,32.0,84,40,2.24,NO,1607285902
Morozovsk,48.35,41.83,16.79,91,0,15.73,RU,1607285902
Mersing,2.43,103.84,78.8,88,91,8.05,MY,1607285902
Lata,40.16,-8.33,53.6,93,40,4.7,PT,1607285828
Salalah,17.02,54.09,75.2,64,0,2.24,OM,1607285902
Saint Anthony,45.02,-93.22,35.6,80,90,10.29,US,1607285903
San Miguel de Tucumán,-26.82,-65.22,78.8,50,40,4.7,AR,1607285903
Freeport,40.66,-73.58,41.0,44,1,18.34,US,1607285804
Kosonsoy,41.26,71.55,35.6,59,13,4.7,UZ,1607285903
Paphos,34.77,32.42,57.2,76,20,8.05,CY,1607285725
Quatre Cocos,-20.21,57.76,78.01,83,75,8.05,MU,1607285786
Mogadishu,2.04,45.34,79.74,76,0,13.09,SO,1607285655
Cayenne,4.93,-52.33,86.0,70,40,10.29,GF,1607285802
Jiazi,22.88,116.07,62.08,82,52,7.85,CN,1607285904
Ikot Ekpene,5.18,7.71,77.47,83,95,7.54,NG,1607285905
Havelock,34.88,-76.9,55.99,46,1,8.05,US,1607285663
Westport,41.14,-73.36,42.01,53,0,1.01,US,1607285749
Santiago del Estero,-27.8,-64.26,84.33,29,0,6.26,AR,1607285670
Bosaso,11.28,49.18,77.95,67,55,1.99,SO,1607285906
Tautira,-17.73,-149.15,75.2,88,75,6.93,PF,1607285906
Bonfim,3.08,-59.95,92.21,45,96,7.7,BR,1607285783
Kloulklubed,7.04,134.26,77.0,94,75,9.6,PW,1607285907
San Jose,37.34,-121.89,57.99,81,90,4.83,US,1607285656
Severo-Yeniseyskiy,60.37,93.04,1.4,93,100,12.1,RU,1607285907
Itarema,-2.92,-39.92,81.86,73,100,16.64,BR,1607285775
Kirakira,-10.45,161.92,80.46,79,94,2.66,SB,1607285907
Necochea,-38.55,-58.74,77.04,32,0,15.37,AR,1607285908
Chibuto,-24.69,33.53,73.15,79,0,9.98,MZ,1607285908
Kaitangata,-46.28,169.85,63.0,57,0,4.0,NZ,1607285908
Hambantota,6.12,81.12,77.27,85,95,7.31,LK,1607285909
Yuanping,38.72,112.76,19.13,78,0,5.23,CN,1607285909
Leshukonskoye,64.9,45.76,31.69,99,100,7.18,RU,1607285909
Kavieng,-2.57,150.8,82.89,73,33,11.48,PG,1607285909
Harper,4.38,-7.72,79.09,81,4,4.74,LR,1607285909
Hamilton,39.18,-84.53,41.0,65,90,4.7,US,1607285910
Opochka,56.71,28.66,26.98,87,0,12.3,RU,1607285910
Umluj,25.02,37.27,71.26,51,0,9.62,SA,1607285910
Anuradhapura,8.36,80.42,74.35,96,100,3.56,LK,1607285910
Egvekinot,66.32,-179.17,7.88,87,4,4.34,RU,1607285773
Sharjah city,25.36,55.4,77.0,73,0,6.93,AE,1607285612
Gamba,-2.65,10.0,77.59,89,100,7.92,GA,1607285911
Kokkola,63.84,23.13,41.0,100,90,12.75,FI,1607285911
Los Llanos de Aridane,28.66,-17.92,64.4,77,40,16.11,ES,1607285911
Acaraú,-2.89,-40.12,82.44,71,100,17.81,BR,1607285730
Gizo Government Station,-8.1,156.84,83.32,74,59,6.98,SB,1607285912
Canberra,-35.28,149.13,57.0,58,75,17.22,AU,1607285912
Contamana,-7.33,-75.02,84.34,63,99,2.06,PE,1607285913
Dudinka,69.41,86.18,12.2,92,90,22.37,RU,1607285913
Ancud,-41.87,-73.82,69.8,56,0,9.17,CL,1607285913
Mago,53.25,140.18,-1.95,88,0,1.16,RU,1607285913
Aleppo Governorate,36.25,37.5,51.64,56,0,3.89,SY,1607285914
Moa,20.66,-74.94,81.16,65,12,9.22,CU,1607285914
Dunedin,-45.87,170.5,63.0,63,13,4.0,NZ,1607285811
Serenje,-13.23,30.24,64.36,88,100,2.64,ZM,1607285914
Rio Branco,-9.97,-67.81,75.2,94,75,3.36,BR,1607285915
Lüshunkou,38.8,121.27,30.2,58,0,4.47,CN,1607285915
Kruisfontein,-34.0,24.73,66.0,94,100,7.0,ZA,1607285915
Shingū,33.73,135.98,47.77,67,0,5.32,JP,1607285785
Liberec,50.77,15.06,48.0,75,69,11.99,CZ,1607285784
‘Ewa Beach,21.32,-158.01,78.8,65,1,3.53,US,1607285916
Tual,-5.67,132.75,84.9,69,100,3.29,ID,1607285916
Ubari,26.59,12.78,58.68,35,100,8.01,LY,1607285916
Jumla,29.27,82.18,37.54,64,0,3.27,NP,1607285917
Charters Towers,-20.1,146.27,71.65,77,22,5.93,AU,1607285917
Dawei,14.08,98.2,66.88,77,100,4.76,MM,1607285917
Muzhi,65.37,64.67,24.39,93,87,14.76,RU,1607285917
Shubarkuduk,49.14,56.49,3.0,92,0,5.3,KZ,1607285918
Pacific Grove,36.62,-121.92,59.0,58,1,3.36,US,1607285653
Shimoda,34.67,138.95,53.56,53,0,10.16,JP,1607285918
Saldanha,-33.01,17.94,59.0,82,0,3.36,ZA,1607285918
Khovd,48.01,91.64,-0.08,80,0,1.1,MN,1607285691
Grindavik,63.84,-22.43,32.0,95,90,20.8,IS,1607285919
Añisoc,1.87,10.77,71.94,94,100,2.21,GQ,1607285919
Ørnes,66.87,13.71,37.4,74,90,12.75,NO,1607285919
Piranshahr,36.7,45.14,31.89,95,99,3.67,IR,1607285919
‘Āhuimanu,21.44,-157.84,80.01,69,20,2.82,US,1607285744
Banda Aceh,5.56,95.32,77.49,82,100,6.15,ID,1607285812
Mahibadhoo,3.78,72.97,82.17,77,100,12.95,MV,1607285920
Bay Roberts,47.6,-53.26,45.0,100,90,9.17,CA,1607285920
Nikel,69.41,30.22,19.4,92,0,6.93,RU,1607285921
Lodeynoye Pole,60.73,33.55,29.07,89,82,7.45,RU,1607285921
Nabire,-3.37,135.48,75.74,83,97,2.17,ID,1607285921
Sorsk,54.0,90.25,7.25,88,100,3.49,RU,1607285922
La Macarena,2.18,-73.78,88.52,53,87,3.58,CO,1607285922
Kaabong,3.48,34.15,72.21,51,2,9.44,UG,1607285922
Alice Springs,-23.7,133.88,69.8,56,100,3.36,AU,1607285682
Mandalgovi,45.76,106.27,-4.38,85,48,11.48,MN,1607285923
